Date,Quarter,        Gross domestic product
01-03-2000,Q1,10002.2
01-06-2000,Q2,10247.7
01-09-2000,Q3,10318.2
01-12-2000,Q4,10435.7
01-03-2001,Q1,10470.2
01-06-2001,Q2,10599
01-09-2001,Q3,10598
01-12-2001,Q4,10660.5
01-03-2002,Q1,10783.5
01-06-2002,Q2,10887.5
01-09-2002,Q3,10984
01-12-2002,Q4,11061.4
01-03-2003,Q1,11174.1
01-06-2003,Q2,11312.8
01-09-2003,Q3,11566.7
01-12-2003,Q4,11772.2
01-03-2004,Q1,11923.4
01-06-2004,Q2,12112.8
01-09-2004,Q3,12305.3
01-12-2004,Q4,12527.2
01-03-2005,Q1,12767.3
01-06-2005,Q2,12922.7
01-09-2005,Q3,13142.6
01-12-2005,Q4,13324.2
01-03-2006,Q1,13599.2
01-06-2006,Q2,13753.4
01-09-2006,Q3,13870.2
01-12-2006,Q4,14039.6
01-03-2007,Q1,14215.7
01-06-2007,Q2,14402.1
01-09-2007,Q3,14564.1
01-12-2007,Q4,14715.1
01-03-2008,Q1,14706.5
01-06-2008,Q2,14865.7
01-09-2008,Q3,14899
01-12-2008,Q4,14608.2
01-03-2009,Q1,14430.9
01-06-2009,Q2,14381.2
01-09-2009,Q3,14448.9
01-12-2009,Q4,14651.2
01-03-2010,Q1,14764.6
01-06-2010,Q2,14980.2
01-09-2010,Q3,15141.6
01-12-2010,Q4,15309.5
01-03-2011,Q1,15351.4
01-06-2011,Q2,15557.5
01-09-2011,Q3,15647.7
01-12-2011,Q4,15842.3
01-03-2012,Q1,16068.8
01-06-2012,Q2,16207.1
01-09-2012,Q3,16319.5
01-12-2012,Q4,16420.4
01-03-2013,Q1,16648.2
01-06-2013,Q2,16728.7
01-09-2013,Q3,16953.8
01-12-2013,Q4,17192
01-03-2014,Q1,17197.7
01-06-2014,Q2,17518.5
01-09-2014,Q3,17804.2
01-12-2014,Q4,17912.1
01-03-2015,Q1,18063.5
01-06-2015,Q2,18279.8
01-09-2015,Q3,18401.6
01-12-2015,Q4,18435.1
01-03-2016,Q1,18525.9
01-06-2016,Q2,18711.7
01-09-2016,Q3,18892.6
01-12-2016,Q4,19089.4
01-03-2017,Q1,19280.1
01-06-2017,Q2,19438.6
01-09-2017,Q3,19692.6
01-12-2017,Q4,20037.1
01-03-2018,Q1,20328.6
01-06-2018,Q2,20580.9
01-09-2018,Q3,20798.7
01-12-2018,Q4,20917.9
01-03-2019,Q1,21104.1
01-06-2019,Q2,21384.8
01-09-2019,Q3,21694.3
01-12-2019,Q4,21902.4
01-03-2020,Q1,21706.5
01-06-2020,Q2,19913.1
01-09-2020,Q3,21647.6
01-12-2020,Q4,22024.5
01-03-2021,Q1,22600.2
01-06-2021,Q2,23292.4
01-09-2021,Q3,23829
01-12-2021,Q4,24654.6
01-03-2022,Q1,25029.1
01-06-2022,Q2,25544.3
01-09-2022,Q3,25994.6
01-12-2022,Q4,26408.4
01-03-2023,Q1,26813.6
01-06-2023,Q2,27063
01-09-2023,Q3,27610.1
