Entity,Code,Year,Annual CO₂ emissions (per capita)
United States,USA,01-01-1800,0.042136
United States,USA,01-01-1801,0.043749023
United States,USA,01-01-1802,0.046463702
United States,USA,01-01-1803,0.04675338
United States,USA,01-01-1804,0.051547863
United States,USA,01-01-1805,0.05170035
United States,USA,01-01-1806,0.049647022
United States,USA,01-01-1807,0.055148073
United States,USA,01-01-1808,0.056223534
United States,USA,01-01-1809,0.05672419
United States,USA,01-01-1810,0.057195846
United States,USA,01-01-1811,0.05957973
United States,USA,01-01-1812,0.0625836
United States,USA,01-01-1813,0.06519789
United States,USA,01-01-1814,0.06802918
United States,USA,01-01-1815,0.070616506
United States,USA,01-01-1816,0.07547438
United States,USA,01-01-1817,0.079147205
United States,USA,01-01-1818,0.08329477
United States,USA,01-01-1819,0.0788342
United States,USA,01-01-1820,0.07940742
United States,USA,01-01-1821,0.08064995
United States,USA,01-01-1822,0.08181233
United States,USA,01-01-1823,0.08290245
United States,USA,01-01-1824,0.09074809
United States,USA,01-01-1825,0.09872902
United States,USA,01-01-1826,0.111148365
United States,USA,01-01-1827,0.11888613
United States,USA,01-01-1828,0.12727666
United States,USA,01-01-1829,0.13939415
United States,USA,01-01-1830,0.15767905
United States,USA,01-01-1831,0.16626401
United States,USA,01-01-1832,0.21589011
United States,USA,01-01-1833,0.2451494
United States,USA,01-01-1834,0.22857675
United States,USA,01-01-1835,0.28379282
United States,USA,01-01-1836,0.30255765
United States,USA,01-01-1837,0.33012334
United States,USA,01-01-1838,0.3045117
United States,USA,01-01-1839,0.3247494
United States,USA,01-01-1840,0.3359056
United States,USA,01-01-1841,0.34518078
United States,USA,01-01-1842,0.37302932
United States,USA,01-01-1843,0.40623948
United States,USA,01-01-1844,0.47249264
United States,USA,01-01-1845,0.5519618
United States,USA,01-01-1846,0.6075555
United States,USA,01-01-1847,0.6989572
United States,USA,01-01-1848,0.7553745
United States,USA,01-01-1849,0.79568434
United States,USA,01-01-1850,0.83870095
United States,USA,01-01-1851,1.0133029
United States,USA,01-01-1852,1.0699053
United States,USA,01-01-1853,1.1693825
United States,USA,01-01-1854,1.2480785
United States,USA,01-01-1855,1.394424
United States,USA,01-01-1856,1.4202958
United States,USA,01-01-1857,1.4139436
United States,USA,01-01-1858,1.3925428
United States,USA,01-01-1859,1.4731518
United States,USA,01-01-1860,1.5011375
United States,USA,01-01-1861,1.4090402
United States,USA,01-01-1862,1.4285618
United States,USA,01-01-1863,1.6126716
United States,USA,01-01-1864,1.6866376
United States,USA,01-01-1865,1.6529324
United States,USA,01-01-1866,1.6266301
United States,USA,01-01-1867,1.9555545
United States,USA,01-01-1868,2.1599026
United States,USA,01-01-1869,2.401964
United States,USA,01-01-1870,2.4715502
